carrier,phone model,speed range,error type,wTCPup1,wTCPdown1,eTCPup1,eTCPdown1,wTCPup2,wTCPdown2,eTCPup2,eTCPdown2,best d/l speeds,total tests,total in batch
AT&T,SM-G970U,200M+,N/A,0,20,0,0,0,19,0,0,29,4071,32749
AT&T,SM-G970U,100M-200M,N/A,0,492,0,90,0,483,0,84,570,4071,32749
AT&T,SM-G970U,50M-100M,N/A,66,676,56,916,64,632,60,891,738,4071,32749
AT&T,SM-G970U,10M-50M,N/A,1239,1165,1211,1296,1222,1218,1203,1325,1191,4071,32749
AT&T,SM-G970U,0M-10M,N/A,1892,844,1912,877,1890,824,1917,880,647,4071,32749
AT&T,SM-G970U,N/A,N/A,0,0,0,0,0,0,0,0,896,4071,32749
AT&T,SM-G970U,N/A,timeout,104,104,118,118,120,120,107,107,0,4071,32749
AT&T,SM-G970U,N/A,no effective service,734,734,734,734,734,734,734,734,0,4071,32749
AT&T,SM-G970U,N/A,connect_error2,36,36,40,40,41,41,50,50,0,4071,32749
AT&T,SM-G970U,N/A,bad_output,0,0,0,0,0,0,0,0,0,4071,32749
AT&T,SM-G970U,N/A,unknown_error,0,0,0,0,0,0,0,0,0,4071,32749
AT&T,SM-G998U,200M+,N/A,0,67,0,0,0,65,0,0,79,4079,32749
AT&T,SM-G998U,100M-200M,N/A,0,563,0,306,0,564,0,253,637,4079,32749
AT&T,SM-G998U,50M-100M,N/A,115,688,106,916,124,714,109,930,784,4079,32749
AT&T,SM-G998U,10M-50M,N/A,1155,1098,1064,1166,1211,1078,1162,1198,1048,4079,32749
AT&T,SM-G998U,0M-10M,N/A,1832,686,1930,712,1769,683,1834,724,531,4079,32749
AT&T,SM-G998U,N/A,N/A,0,0,0,0,0,0,0,0,1000,4079,32749
AT&T,SM-G998U,N/A,timeout,127,127,135,135,122,122,120,120,0,4079,32749
AT&T,SM-G998U,N/A,no effective service,810,810,810,810,810,810,810,810,0,4079,32749
AT&T,SM-G998U,N/A,connect_error2,40,40,34,34,43,43,44,44,0,4079,32749
AT&T,SM-G998U,N/A,bad_output,0,0,0,0,0,0,0,0,0,4079,32749
AT&T,SM-G998U,N/A,unknown_error,0,0,0,0,0,0,0,0,0,4079,32749
FirstNet,XP8800,200M+,N/A,0,0,0,0,0,1,0,0,1,4048,32749
FirstNet,XP8800,100M-200M,N/A,0,63,0,5,0,59,0,9,73,4048,32749
FirstNet,XP8800,50M-100M,N/A,11,329,10,321,14,314,12,311,390,4048,32749
FirstNet,XP8800,10M-50M,N/A,1360,1801,1356,1836,1380,1822,1384,1865,1953,4048,32749
FirstNet,XP8800,0M-10M,N/A,1868,1046,1880,1084,1832,1030,1827,1038,807,4048,32749
FirstNet,XP8800,N/A,N/A,0,0,0,0,0,0,0,0,824,4048,32749
FirstNet,XP8800,N/A,timeout,42,42,38,38,55,55,40,40,0,4048,32749
FirstNet,XP8800,N/A,no effective service,736,736,736,736,736,736,736,736,0,4048,32749
FirstNet,XP8800,N/A,connect_error2,31,31,28,28,31,31,48,48,0,4048,32749
FirstNet,XP8800,N/A,bad_output,0,0,0,0,0,0,1,1,0,4048,32749
FirstNet,XP8800,N/A,unknown_error,0,0,0,0,0,0,0,0,0,4048,32749
na,SM-G973U,200M+,N/A,0,0,0,0,0,0,0,0,0,17,32749
na,SM-G973U,100M-200M,N/A,0,0,0,0,0,0,0,0,0,17,32749
na,SM-G973U,50M-100M,N/A,0,0,0,0,0,0,0,0,0,17,32749
na,SM-G973U,10M-50M,N/A,0,0,0,0,0,0,0,0,0,17,32749
na,SM-G973U,0M-10M,N/A,0,0,0,0,0,0,0,0,0,17,32749
na,SM-G973U,N/A,N/A,0,0,0,0,0,0,0,0,17,17,32749
na,SM-G973U,N/A,timeout,10,10,9,9,9,9,9,9,0,17,32749
na,SM-G973U,N/A,no effective service,7,7,7,7,7,7,7,7,0,17,32749
na,SM-G973U,N/A,connect_error2,0,0,1,1,1,1,1,1,0,17,32749
na,SM-G973U,N/A,bad_output,0,0,0,0,0,0,0,0,0,17,32749
na,SM-G973U,N/A,unknown_error,0,0,0,0,0,0,0,0,0,17,32749
na,SM-G998U,200M+,N/A,0,0,0,0,0,0,0,0,0,1,32749
na,SM-G998U,100M-200M,N/A,0,0,0,0,0,0,0,0,0,1,32749
na,SM-G998U,50M-100M,N/A,0,0,0,0,0,0,0,0,0,1,32749
na,SM-G998U,10M-50M,N/A,0,0,0,0,0,0,0,0,0,1,32749
na,SM-G998U,0M-10M,N/A,0,0,0,0,0,0,0,0,0,1,32749
na,SM-G998U,N/A,N/A,0,0,0,0,0,0,0,0,1,1,32749
na,SM-G998U,N/A,timeout,0,0,0,0,0,0,0,0,0,1,32749
na,SM-G998U,N/A,no effective service,1,1,1,1,1,1,1,1,0,1,32749
na,SM-G998U,N/A,connect_error2,0,0,0,0,0,0,0,0,0,1,32749
na,SM-G998U,N/A,bad_output,0,0,0,0,0,0,0,0,0,1,32749
na,SM-G998U,N/A,unknown_error,0,0,0,0,0,0,0,0,0,1,32749
Sprint,SM-G973U,200M+,N/A,0,0,0,0,0,0,0,0,0,4127,32749
Sprint,SM-G973U,100M-200M,N/A,0,153,0,0,0,165,0,0,188,4127,32749
Sprint,SM-G973U,50M-100M,N/A,1,482,1,525,0,453,1,533,510,4127,32749
Sprint,SM-G973U,10M-50M,N/A,361,1085,323,1142,359,1100,346,1146,1148,4127,32749
Sprint,SM-G973U,0M-10M,N/A,2381,1023,2378,1035,2345,986,2352,1020,889,4127,32749
Sprint,SM-G973U,N/A,N/A,0,0,0,0,0,0,0,0,1392,4127,32749
Sprint,SM-G973U,N/A,timeout,379,379,404,404,382,382,384,384,0,4127,32749
Sprint,SM-G973U,N/A,no effective service,978,978,978,978,978,978,978,978,0,4127,32749
Sprint,SM-G973U,N/A,connect_error2,24,24,40,40,62,62,66,66,0,4127,32749
Sprint,SM-G973U,N/A,bad_output,3,3,3,3,1,1,0,0,0,4127,32749
Sprint,SM-G973U,N/A,unknown_error,0,0,0,0,0,0,0,0,0,4127,32749
T-Mobile,SM-G970U,200M+,N/A,0,2,0,0,0,2,0,0,3,4120,32749
T-Mobile,SM-G970U,100M-200M,N/A,0,86,0,4,0,88,0,5,112,4120,32749
T-Mobile,SM-G970U,50M-100M,N/A,46,349,32,326,45,332,34,369,407,4120,32749
T-Mobile,SM-G970U,10M-50M,N/A,1047,1088,995,1109,1017,1120,975,1098,1174,4120,32749
T-Mobile,SM-G970U,0M-10M,N/A,1670,1238,1674,1262,1695,1215,1727,1264,1055,4120,32749
T-Mobile,SM-G970U,N/A,N/A,0,0,0,0,0,0,0,0,1369,4120,32749
T-Mobile,SM-G970U,N/A,timeout,159,159,229,229,165,165,187,187,0,4120,32749
T-Mobile,SM-G970U,N/A,no effective service,1169,1169,1169,1169,1169,1169,1169,1169,0,4120,32749
T-Mobile,SM-G970U,N/A,connect_error2,26,26,21,21,26,26,28,28,0,4120,32749
T-Mobile,SM-G970U,N/A,bad_output,3,3,0,0,3,3,0,0,0,4120,32749
T-Mobile,SM-G970U,N/A,unknown_error,0,0,0,0,0,0,0,0,0,4120,32749
T-Mobile,SM-G998U,200M+,N/A,0,98,0,0,0,99,0,0,113,4114,32749
T-Mobile,SM-G998U,100M-200M,N/A,30,223,20,109,31,233,21,107,260,4114,32749
T-Mobile,SM-G998U,50M-100M,N/A,208,399,180,486,188,398,178,507,468,4114,32749
T-Mobile,SM-G998U,10M-50M,N/A,970,944,884,997,1006,982,954,980,991,4114,32749
T-Mobile,SM-G998U,0M-10M,N/A,1458,1002,1563,1055,1430,943,1504,1063,817,4114,32749
T-Mobile,SM-G998U,N/A,N/A,0,0,0,0,0,0,0,0,1465,4114,32749
T-Mobile,SM-G998U,N/A,timeout,196,196,206,206,192,192,191,191,0,4114,32749
T-Mobile,SM-G998U,N/A,no effective service,1187,1187,1187,1187,1187,1187,1187,1187,0,4114,32749
T-Mobile,SM-G998U,N/A,connect_error2,60,60,71,71,74,74,79,79,0,4114,32749
T-Mobile,SM-G998U,N/A,bad_output,5,5,3,3,6,6,0,0,0,4114,32749
T-Mobile,SM-G998U,N/A,unknown_error,0,0,0,0,0,0,0,0,0,4114,32749
Verizon,SM-G970U,200M+,N/A,0,0,0,0,0,0,0,0,0,2295,32749
Verizon,SM-G970U,100M-200M,N/A,0,84,0,3,0,87,0,4,104,2295,32749
Verizon,SM-G970U,50M-100M,N/A,46,373,42,352,47,352,43,361,425,2295,32749
Verizon,SM-G970U,10M-50M,N/A,711,704,717,797,715,739,722,786,741,2295,32749
Verizon,SM-G970U,0M-10M,N/A,953,549,945,552,912,496,921,535,438,2295,32749
Verizon,SM-G970U,N/A,N/A,0,0,0,0,0,0,0,0,587,2295,32749
Verizon,SM-G970U,N/A,timeout,83,83,88,88,108,108,69,69,0,2295,32749
Verizon,SM-G970U,N/A,no effective service,470,470,470,470,470,470,470,470,0,2295,32749
Verizon,SM-G970U,N/A,connect_error2,32,32,33,33,43,43,70,70,0,2295,32749
Verizon,SM-G970U,N/A,bad_output,0,0,0,0,0,0,0,0,0,2295,32749
Verizon,SM-G970U,N/A,unknown_error,0,0,0,0,0,0,0,0,0,2295,32749
Verizon,SM-G998U,200M+,N/A,0,2,0,0,0,4,0,0,4,4063,32749
Verizon,SM-G998U,100M-200M,N/A,0,95,0,17,0,92,0,30,112,4063,32749
Verizon,SM-G998U,50M-100M,N/A,107,426,103,371,104,413,93,387,549,4063,32749
Verizon,SM-G998U,10M-50M,N/A,1175,1212,1171,1229,1215,1250,1194,1262,1337,4063,32749
Verizon,SM-G998U,0M-10M,N/A,1846,1393,1852,1509,1792,1352,1829,1437,1106,4063,32749
Verizon,SM-G998U,N/A,N/A,0,0,0,0,0,0,0,0,955,4063,32749
Verizon,SM-G998U,N/A,timeout,118,118,119,119,124,124,103,103,0,4063,32749
Verizon,SM-G998U,N/A,no effective service,753,753,753,753,753,753,753,753,0,4063,32749
Verizon,SM-G998U,N/A,connect_error2,64,64,65,65,75,75,91,91,0,4063,32749
Verizon,SM-G998U,N/A,bad_output,0,0,0,0,0,0,0,0,0,4063,32749
Verizon,SM-G998U,N/A,unknown_error,0,0,0,0,0,0,0,0,0,4063,32749
Verizon Wireless,SM-G970U,200M+,N/A,0,3,0,0,0,2,0,0,3,1814,32749
Verizon Wireless,SM-G970U,100M-200M,N/A,0,94,0,13,0,88,0,15,106,1814,32749
Verizon Wireless,SM-G970U,50M-100M,N/A,30,288,27,311,28,280,28,307,333,1814,32749
Verizon Wireless,SM-G970U,10M-50M,N/A,574,598,571,645,576,616,570,630,617,1814,32749
Verizon Wireless,SM-G970U,0M-10M,N/A,826,447,828,457,811,429,820,466,368,1814,32749
Verizon Wireless,SM-G970U,N/A,N/A,0,0,0,0,0,0,0,0,387,1814,32749
Verizon Wireless,SM-G970U,N/A,timeout,47,47,58,58,59,59,52,52,0,1814,32749
Verizon Wireless,SM-G970U,N/A,no effective service,308,308,308,308,308,308,308,308,0,1814,32749
Verizon Wireless,SM-G970U,N/A,connect_error2,29,29,22,22,31,31,36,36,0,1814,32749
Verizon Wireless,SM-G970U,N/A,bad_output,0,0,0,0,1,1,0,0,0,1814,32749
Verizon Wireless,SM-G970U,N/A,unknown_error,0,0,0,0,0,0,0,0,0,1814,32749
